,subID,onset,target_child_name,target_child_age,meanF0,stdevF0,minF0,maxF0,Language,Contingency
4648,010719,Braunwald.wav,201755.0,010719,179.8191612351888,7.650318771232138,165.08028403482922,187.74152746916056,English,Non-contingent
4649,030423,Braunwald.wav,438095.0,030423,182.32448087210702,24.843937855188134,134.97180498043394,241.68756555728785,English,Non-contingent
4650,020227,Braunwald.wav,89601.0,020227,225.51432256306808,44.24278194046381,151.44482298890824,289.10213016453946,English,Non-contingent
4651,011103,Braunwald.wav,1295055.0,011103,220.99014510951943,33.81024572728036,135.8536987505781,281.65132893258857,English,Non-contingent
4652,030627b,Braunwald.wav,91815.0,030627b,316.17236571054804,68.35027521065429,227.80876545153976,519.077513826731,English,Non-contingent
4653,011103,Braunwald.wav,1614863.0,011103,166.0193455485446,40.783415443857045,102.09699940070456,264.4873234605861,English,Non-contingent
4654,020128,Braunwald.wav,449603.0,020128,197.14493158326312,5.9612723501554665,189.7598218529535,212.8041379051335,English,Non-contingent
4655,010717,Braunwald.wav,562703.0,010717,251.41228866985628,54.35698139708478,149.34495479084836,341.15508483821736,English,Non-contingent
4656,010725,Braunwald.wav,444900.0,010725,196.1115961403992,81.46754005112999,76.20059107261224,405.4790756139722,English,Non-contingent
4657,030627b,Braunwald.wav,366852.0,030627b,371.16424749286756,91.68310833346108,262.2970221602371,627.535255061027,English,Non-contingent
4658,010621,Braunwald.wav,514027.00000000006,010621,139.06485302927868,8.182397898106357,128.9891074303981,159.19584114687186,English,Non-contingent
4659,030627b,Braunwald.wav,517205.00000000006,030627b,454.5228339071902,99.7866697826742,265.5333631673354,634.390401623011,English,Non-contingent
4660,030113,Braunwald.wav,110661.0,030113,386.6673045420495,192.70195613099108,164.08683145142882,596.8735071357702,English,Non-contingent
4661,020603,Braunwald.wav,283705.0,020603,151.45977541368802,4.038316548967676,145.5787007938532,158.9396748294181,English,Non-contingent
4662,020203,Braunwald.wav,733311.0,020203,233.8825715782319,141.27529703577903,77.30736869586012,532.0767718308327,English,Non-contingent
4663,010707,Braunwald.wav,0.0,010707,245.65098738653484,74.24811132706863,177.55642296019113,564.47589239008,English,Non-contingent
4664,060417,Braunwald.wav,1156916.0,060417,329.76865922633266,72.1982856639051,122.48142490518772,442.793396325746,English,Non-contingent
4665,020300a,Braunwald.wav,908890.0,020300a,345.21053978244873,142.09173670532772,75.12428023974276,535.0404024666324,English,Non-contingent
4666,010522,Braunwald.wav,995735.0,010522,288.2242946162635,84.91450028764234,171.65510020355293,611.9120931899096,English,Non-contingent
4667,030528a,Braunwald.wav,1228348.0,030528a,301.4968972471925,56.88180414437691,277.20569519562855,535.1405489220986,English,Non-contingent
