transcript_id,media_start,media_end,gloss,speaker_role,language,corpus_name,directedness,Language_name,Language_Family,Language_Genus,target_child_age,caregiver,target_child_id
643,11138.848,11139.368,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11140.433,11140.974,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11141.831,11142.463,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11143.287,11144.199,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11145.267,11146,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11148.277,11148.984,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11149.48,11149.659,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11154.15,11154.479,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11163.235,11164.182,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11164.616,11164.95,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11165.696,11166.295,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11169.85,11171.163,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11171.915,11172.459,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11173.049,11174.226,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11174.854,11175.423,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11180.049,11180.275,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11189.583,11189.85,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11190.401,11190.805,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11191.637,11192.01,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11197.3,11197.443,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11198.59,11199.267,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11200.463,11201.531,c,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11202.788,11203.358,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11205.638,11207.232,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11207.782,11209.129,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11211.704,11211.863,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11218.609,11219.036,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11222.104,11222.831,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11223.987,11225.695,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11226.922,11227.352,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11227.879,11228.798,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11229.417,11231.116,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11231.58,11232.212,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11238.58,11239.401,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11242.121,11242.505,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11242.788,11243.238,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11252.127,11252.511,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11298.798,11299.906,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11301.29,11301.899,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11302.984,11303.495,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11304.019,11304.726,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11308.629,11309.609,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11310.684,11311.342,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11312.29,11312.687,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11316.463,11316.966,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11317.505,11318.903,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11319.121,11319.973,c,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11320.651,11321.257,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11331.967,11332.124,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11332.453,11333.283,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11352.094,11352.186,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11352.818,11352.993,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
643,11353.935,11354.388,n,Target_Child,tzh,Casillas,NA,Tseltal,Mayan,Mayan,2,target_child,643
