transcript_id,media_start,media_end,gloss,speaker_role,language,corpus_name,Language_name,Language_Family,Language_Genus,target_child_age,caregiver,target_child_id,contingent,num_tokens
6216,23973.635,23974.341,0,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,23980.397,23980.768,joo,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,23991.225,23991.934,tsakatal i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,2
6216,23996.551,23997.548,tsakatal,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,24007.921,24008.439,ay to,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,2
6216,24011.102,24011.56,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,24011.898,24012.805,ay bok ya jk'ux,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,5
6216,24021.688,24022.329,joo,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,24022.757,24023.328,joo,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,24023.683,24024.906,ajk'beich'i,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,0,3
6216,24028.949,24029.542,pejch,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,24030.291,24031.382,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,24043.001,24043.6,petul,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,24070.525,24071.254,joo,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
6216,24138.331,24139.575,jmm mailia ya to ch'iltal,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,6
6216,24140.994,24141.626,maili,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,27,caregiver,6216,1,1
7176,1749.345,1750.899,k'ejaba kala jesi,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,4,caregiver,7176,0,4
7176,1753.101,1754.105,jesi,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,4,caregiver,7176,1,1
7176,1754.754,1755.209,aa,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,4,caregiver,7176,1,1
7176,1757.442,1758.311,ii,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,4,caregiver,7176,1,1
7176,1759.611,1761.431,aye la'taixan a'wakan ta mesai,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,4,caregiver,7176,1,7
7176,1816.011,1816.866,ila wil a chichi,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,4,caregiver,7176,1,4
7176,1822.677,1824.073,bii,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,4,caregiver,7176,1,1
7176,1830.154,1830.8,jmm,Mother,tzh,Casillas,Tseltal,Mayan,Mayan,4,caregiver,7176,1,1
